시도,시군도,경도,위도
강원도,강릉,128.8784972,37.74913611
강원도,고성,128.4701639,38.37796111
강원도,동해,129.1166333,37.52193056
강원도,삼척,129.1674889,37.44708611
강원도,속초,128.5941667,38.204275
강원도,양구,127.9922444,38.10729167
강원도,양양,128.6213556,38.07283333
강원도,영월,128.4640194,37.18086111
강원도,원주,127.9220556,37.33908333
강원도,인제,128.1726972,38.06697222
강원도,정선,128.6630861,37.37780833
강원도,철원,127.3157333,38.14405556
강원도,춘천,127.7323111,37.87854167
강원도,태백,128.9879972,37.16122778
강원도,평창,128.3923528,37.36791667
강원도,홍천,127.8908417,37.69442222
강원도,화천,127.7103556,38.10340833
강원도,횡성,127.9872222,37.48895833
경기도,가평,127.5117778,37.82883056
경기도,강화,126.49,37.74385833
경기도,고양,126.7770556,37.65590833
경기도,과천,126.9898,37.42637222
경기도,광명,126.8667083,37.47575
경기도,광주,127.2577861,37.41450556
경기도,구리,127.1318639,37.591625
경기도,군포,126.9375,37.35865833
경기도,김포,126.7177778,37.61245833
경기도,남양주,127.2186333,37.63317778
경기도,동두천,127.0626528,37.90091667
경기도,부천,126.766,37.5035917
경기도,성남,127.1477194,37.44749167
경기도,수원,127.0122222,37.30101111
경기도,시흥,126.8050778,37.37731944
경기도,안산,126.8468194,37.29851944
경기도,안성,127.2818444,37.005175
경기도,안양,126.9533556,37.3897
경기도,양주,127.0478194,37.78245
경기도,양평,127.4898861,37.48893611
경기도,여주,127.652958,37.324606
경기도,여주,127.6396222,37.29535833
경기도,연천,127.0770667,38.09336389
경기도,오산,127.0796417,37.14691389
경기도,옹진,126.6388889,37.443725
경기도,용인,127.2038444,37.23147778
경기도,의왕,126.9703889,37.34195
경기도,의정부,127.0358417,37.73528889
경기도,이천,127.4432194,37.27543611
경기도,파주,126.7819528,37.75708333
경기도,평택,127.1146556,36.98943889
경기도,포천,127.2024194,37.89215556
경기도,하남,127.217,37.53649722
경기도,화성,126.8335306,37.19681667
경기도,인천시,126.7059186,37.45617301
경상남도,거제,128.6233556,34.87735833
경상남도,거창,127.9116556,35.683625
경상북도,경산,128.7434639,35.82208889
경상북도,경주,129.2270222,35.85316944
경상북도,고령,128.2650222,35.72298611
경상남도,고성,128.3245417,34.9699
경상북도,구미,128.3467778,36.11655
경상북도,군위,128.5750778,36.23999722
경상남도,기장,129.224475,35.24135
경상북도,김천,128.1158,36.13689722
경상남도,김해,128.8916667,35.22550556
경상남도,남해,127.8944667,34.83455833
경상북도,달성,128.433275,35.77168056
경상남도,마산,128.567863,35.196874
경상북도,문경,128.1890194,36.58363056
경상남도,밀양,128.7489444,35.50077778
경상북도,봉화,128.734875,36.89026111
경상남도,사천,128.0667778,35.00028333
경상남도,산청,127.8756194,35.41249167
